source,class,candidate_files,resolved
system/libs/PEAR/DB/oci8.php,DB_result,system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/odbc.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/odbc.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/odbc.php,DB_common,system/libs/PEAR/DB/common.php,True
system/libs/PEAR/DB/pgsql.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/pgsql.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/pgsql.php,DB_common,system/libs/PEAR/DB/common.php,True
system/libs/PEAR/DB/sqlite.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/sqlite.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/sqlite.php,DB_common,system/libs/PEAR/DB/common.php,True
system/libs/PEAR/DB/storage.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/storage.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/sybase.php,DB,system/libs/CoreLibrary/DB.class.php | system/libs/CoreLibrary/_DB.class.php | system/libs/PEAR/DB.php | system/libs/PEAR/DB.php,True
system/libs/PEAR/DB/sybase.php,PEAR,system/libs/PEAR/PEAR.php,True
system/libs/PEAR/DB/sybase.php,DB_common,system/libs/PEAR/DB/common.php,True
system/libs/PEAR/Savant3/Exception.php,Exception,PHPMailer/src/Exception.php,True
system/libs/PEAR/Savant3/resources/Savant3_Filter_trimwhitespace.php,Savant3_Filter_trimwhitespace,system/libs/PEAR/Savant3/resources/Savant3_Filter_trimwhitespace.php,True
system/libs/PEAR/Savant3/resources/Savant3_Filter_trimwhitespace.php,Savant3_Filter,system/libs/PEAR/Savant3/Filter.php,True
system/libs/PEAR/Savant3/resources/Savant3_Plugin_ahref.php,Savant3_Plugin,system/libs/PEAR/Savant3/Plugin.php,True
system/libs/PEAR/Savant3/resources/Savant3_Plugin_date.php,Savant3_Plugin,system/libs/PEAR/Savant3/Plugin.php,True
system/libs/PEAR/Savant3/resources/Savant3_Plugin_htmlAttribs.php,Savant3_Plugin,system/libs/PEAR/Savant3/Plugin.php,True
system/libs/PEAR/Savant3/resources/Savant3_Plugin_image.php,Savant3_Plugin,system/libs/PEAR/Savant3/Plugin.php,True
system/libs/PhpMailer/class.PHPMailer.php,SMTP,PHPMailer/src/SMTP.php | system/libs/PhpMailer/class.smtp.php,True
system/libs/ProjectLibrary/Access.class.php,ProjectLibrary_FrontEnd_BO_Authentification,system/libs/ProjectLibrary/FrontEnd/BO/Authentification.class.php,True
system/libs/ProjectLibrary/Access.class.php,ProjectLibrary_FrontEnd_Util_UserSession,system/libs/ProjectLibrary/FrontEnd/Util/UserSession.class.php,True
system/libs/ProjectLibrary/Access.class.php,ProjectLibrary_SDO_User,system/libs/ProjectLibrary/SDO/User.class.php,True
system/libs/ProjectLibrary/Access.class.php,Objeto,system/libs/CoreLibrary/Objeto.class.php,True
system/libs/ProjectLibrary/Access.class.php,ProjectLibrary_SDO_Core_DAO_Permission,system/libs/ProjectLibrary/SDO/Core/DAO/Permission.class.php,True
system/libs/ProjectLibrary/Entity.class.php,Util_String,system/libs/CoreLibrary/Util/String.class.php,True
system/libs/ProjectLibrary/Entity.class.php,Objeto,system/libs/CoreLibrary/Objeto.class.php,True
system/libs/ProjectLibrary/Savant.class.php,ProjectLibrary_SDO_Core_Application_LanguageManager,system/libs/ProjectLibrary/SDO/Core/Application/LanguageManager.class.php,True
system/libs/ProjectLibrary/Savant.class.php,Exception,PHPMailer/src/Exception.php,True
system/libs/ProjectLibrary/Savant.class.php,Savant3,system/libs/PEAR/Savant3.php,True
system/libs/ProjectLibrary/Savant.class.php,Zend_Translate,system/libs/Zend/Translate.php,True
system/libs/ProjectLibrary/Savant_php2.class.php,ProjectLibrary_SDO_Core_Application_LanguageManager,system/libs/ProjectLibrary/SDO/Core/Application/LanguageManager.class.php,True
system/libs/ProjectLibrary/Savant_php2.class.php,Exception,PHPMailer/src/Exception.php,True
system/libs/ProjectLibrary/Savant_php2.class.php,Savant3,system/libs/PEAR/Savant3.php,True
system/libs/ProjectLibrary/Savant_php2.class.php,Zend_Translate,system/libs/Zend/Translate.php,True
system/libs/ProjectLibrary/Access/Categorias.class.php,ProjectLibrary_FrontEnd_Util_UserSession,system/libs/ProjectLibrary/FrontEnd/Util/UserSession.class.php,True
system/libs/ProjectLibrary/Access/Categorias.class.php,ProjectLibrary_Access,system/libs/ProjectLibrary/Access.class.php,True
system/libs/ProjectLibrary/Access/Marcas.class.php,ProjectLibrary_FrontEnd_Util_UserSession,system/libs/ProjectLibrary/FrontEnd/Util/UserSession.class.php,True
system/libs/ProjectLibrary/Access/Marcas.class.php,ProjectLibrary_Access,system/libs/ProjectLibrary/Access.class.php,True
system/libs/ProjectLibrary/Access/Productos.class.php,ProjectLibrary_FrontEnd_Util_UserSession,system/libs/ProjectLibrary/FrontEnd/Util/UserSession.class.php,True
system/libs/ProjectLibrary/Access/Productos.class.php,ProjectLibrary_Access,system/libs/ProjectLibrary/Access.class.php,True
system/libs/ProjectLibrary/Access/User.class.php,ProjectLibrary_FrontEnd_Util_UserSession,system/libs/ProjectLibrary/FrontEnd/Util/UserSession.class.php,True
system/libs/ProjectLibrary/Access/User.class.php,ProjectLibrary_SDO_Core_Application_User,system/libs/ProjectLibrary/SDO/Core/Application/User.class.php,True
system/libs/ProjectLibrary/Access/User.class.php,ProjectLibrary_SDO_Sucursal,,False
system/libs/ProjectLibrary/Access/User.class.php,ProjectLibrary_SDO_User,system/libs/ProjectLibrary/SDO/User.class.php,True
system/libs/ProjectLibrary/Access/User.class.php,ProjectLibrary_Access,system/libs/ProjectLibrary/Access.class.php,True
system/libs/ProjectLibrary/Entity/Categorias.class.php,ProjectLibrary_SDO_Core_Application_Categorias,system/libs/ProjectLibrary/SDO/Core/Application/Categorias.class.php,True
system/libs/ProjectLibrary/Entity/Categorias.class.php,ProjectLibrary_SDO_Core_Application_FileManagement,system/libs/ProjectLibrary/SDO/Core/Application/FileManagement.class.php,True
system/libs/ProjectLibrary/Entity/Categorias.class.php,Util_String,system/libs/CoreLibrary/Util/String.class.php,True
system/libs/ProjectLibrary/Entity/Categorias.class.php,ProjectLibrary_Entity,system/libs/ProjectLibrary/Entity.class.php,True
system/libs/ProjectLibrary/Entity/Categorias.class.php,ProjectLibrary_Entity_Search,system/libs/ProjectLibrary/Entity/Search.class.php,True
system/libs/ProjectLibrary/Entity/IdsHandler.class.php,ProjectLibrary_Entity,system/libs/ProjectLibrary/Entity.class.php,True
system/libs/ProjectLibrary/Entity/ImageHandler.class.php,ProjectLibrary_Entity,system/libs/ProjectLibrary/Entity.class.php,True
system/libs/ProjectLibrary/Entity/Marcas.class.php,ProjectLibrary_SDO_Core_Application_FileManagement,system/libs/ProjectLibrary/SDO/Core/Application/FileManagement.class.php,True
system/libs/ProjectLibrary/Entity/Marcas.class.php,ProjectLibrary_SDO_Core_Application_Marcas,system/libs/ProjectLibrary/SDO/Core/Application/Marcas.class.php,True
system/libs/ProjectLibrary/Entity/Marcas.class.php,Util_String,system/libs/CoreLibrary/Util/String.class.php,True
system/libs/ProjectLibrary/Entity/Marcas.class.php,ProjectLibrary_Entity,system/libs/ProjectLibrary/Entity.class.php,True
system/libs/ProjectLibrary/Entity/Marcas.class.php,ProjectLibrary_Entity_Search,system/libs/ProjectLibrary/Entity/Search.class.php,True
system/libs/ProjectLibrary/Entity/Productos.class.php,ProjectLibrary_SDO_Core_Application_FileManagement,system/libs/ProjectLibrary/SDO/Core/Application/FileManagement.class.php,True
system/libs/ProjectLibrary/Entity/Productos.class.php,ProjectLibrary_SDO_Core_Application_Productos,system/libs/ProjectLibrary/SDO/Core/Application/Productos.class.php,True
system/libs/ProjectLibrary/Entity/Productos.class.php,Util_String,system/libs/CoreLibrary/Util/String.class.php,True
system/libs/ProjectLibrary/Entity/Productos.class.php,ProjectLibrary_Entity,system/libs/ProjectLibrary/Entity.class.php,True
system/libs/ProjectLibrary/Entity/Productos.class.php,ProjectLibrary_Entity_Search,system/libs/ProjectLibrary/Entity/Search.class.php,True
system/libs/ProjectLibrary/Entity/Search.class.php,Objeto,system/libs/CoreLibrary/Objeto.class.php,True
