id,original_id,path,type,version,exists,access_type,expected_path,located_paths
41,40,multimedia/imagenes/productos/11b9d3d36bf1efdc92052289a369f05219e2a104.jpg,image/jpeg,small,True,public,multimedia/imagenes/productos/11b9d3d36bf1efdc92052289a369f05219e2a104.jpg,multimedia/imagenes/productos/11b9d3d36bf1efdc92052289a369f05219e2a104.jpg
42,40,multimedia/imagenes/productos/7626d89018ac9822562ce986261c7a193d64233b.jpg,image/jpeg,medium,True,public,multimedia/imagenes/productos/7626d89018ac9822562ce986261c7a193d64233b.jpg,multimedia/imagenes/productos/7626d89018ac9822562ce986261c7a193d64233b.jpg
43,40,multimedia/imagenes/productos/ad2329645fb0764d5b2328d64ae0c0b1ca72c8a7.jpg,image/jpeg,large,True,public,multimedia/imagenes/productos/ad2329645fb0764d5b2328d64ae0c0b1ca72c8a7.jpg,multimedia/imagenes/productos/ad2329645fb0764d5b2328d64ae0c0b1ca72c8a7.jpg
44,,system/files/images/categorias/3d3f8a7b58fad15cba55a19e1f7dcbd97e37ab41,image/jpeg,original,True,public,system/files/images/categorias/3d3f8a7b58fad15cba55a19e1f7dcbd97e37ab41,system/files/images/categorias/3d3f8a7b58fad15cba55a19e1f7dcbd97e37ab41 | system/files/images/productos/3d3f8a7b58fad15cba55a19e1f7dcbd97e37ab41
45,44,multimedia/imagenes/categorias/62d26b7dcc4290671a007978a3e7cb7893218226.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/62d26b7dcc4290671a007978a3e7cb7893218226.jpg,multimedia/imagenes/categorias/62d26b7dcc4290671a007978a3e7cb7893218226.jpg | multimedia/imagenes/productos/62d26b7dcc4290671a007978a3e7cb7893218226.jpg
46,44,multimedia/imagenes/categorias/029f3af9b38f6de9dedfacf27a27f0626f6da812.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/029f3af9b38f6de9dedfacf27a27f0626f6da812.jpg,multimedia/imagenes/categorias/029f3af9b38f6de9dedfacf27a27f0626f6da812.jpg | multimedia/imagenes/productos/029f3af9b38f6de9dedfacf27a27f0626f6da812.jpg
47,44,multimedia/imagenes/categorias/0a09543a3babd4af8c7ec51dde1568aa91104888.jpg,image/jpeg,large,True,public,multimedia/imagenes/categorias/0a09543a3babd4af8c7ec51dde1568aa91104888.jpg,multimedia/imagenes/categorias/0a09543a3babd4af8c7ec51dde1568aa91104888.jpg | multimedia/imagenes/productos/0a09543a3babd4af8c7ec51dde1568aa91104888.jpg
48,,system/files/images/categorias/b0c2e45b23cfd147f3f8bbf7f05a34104ff032f8,image/jpeg,original,True,public,system/files/images/categorias/b0c2e45b23cfd147f3f8bbf7f05a34104ff032f8,system/files/images/categorias/b0c2e45b23cfd147f3f8bbf7f05a34104ff032f8
49,48,multimedia/imagenes/categorias/472af368af5ea63215b4fb5bf50b70333407565c.jpg,image/jpeg,small,True,public,multimedia/imagenes/categorias/472af368af5ea63215b4fb5bf50b70333407565c.jpg,multimedia/imagenes/categorias/472af368af5ea63215b4fb5bf50b70333407565c.jpg
50,48,multimedia/imagenes/categorias/7970c0c0dd68e0beb8cb5debc8ab8bf3112bc1c7.jpg,image/jpeg,medium,True,public,multimedia/imagenes/categorias/7970c0c0dd68e0beb8cb5debc8ab8bf3112bc1c7.jpg,multimedia/imagenes/categorias/7970c0c0dd68e0beb8cb5debc8ab8bf3112bc1c7.jpg
